time;cwnd1;cwnd2;cwnd3;rtt1;rtt2;rtt3;bytes1;bytes2;bytes3
0;1460;1460;1460;0.0;0.0;0.0;0;0;0
0.01;1460;1460;1460;0.0;0.0;0.0;0;0;0
0.02;1460;1460;1460;0.0;0.0;0.0;0;0;0
0.029999999999999999;1460;1460;1460;0.0;0.0;0.0;0;0;0
0.040000000000000001;1460;1460;1460;0.0;0.0;0.0;0;0;0
0.050000000000000003;1460;1460;1460;0.0;0.0;0.0;0;0;0
0.060000000000000005;1460;1460;1460;0.0;0.0;0.0;0;0;0
0.070000000000000007;1460;1460;1460;0.0;0.0;0.0;40;0;0
0.080000000000000002;1460;1460;1460;0.0;0.0;0.0;40;0;0
0.089999999999999997;1460;1460;1460;0.0;0.0;0.0;40;0;0
0.099999999999999992;1460;1460;1460;0.0;0.0;0.0;40;0;0
0.10999999999999999;1460;1460;1460;0.0;0.0;0.0;40;0;0
0.11999999999999998;1460;1460;1460;0.0;0.0;0.0;40;0;0
0.12999999999999998;2920;1460;1460;0.12;0.0;0.0;40;0;0
0.13999999999999999;2920;1460;1460;0.12;0.0;0.0;40;0;0
0.14999999999999999;2920;1460;1460;0.12;0.0;0.0;40;0;0
0.16;2920;1460;1460;0.12;0.0;0.0;40;0;0
0.17000000000000001;2920;1460;1460;0.12;0.0;0.0;40;0;0
0.18000000000000002;2920;1460;1460;0.12;0.0;0.0;40;0;0
0.19000000000000003;2920;1460;1460;0.12;0.0;0.0;3040;0;0
0.20000000000000004;2920;1460;1460;0.12;0.0;0.0;3040;0;0
0.21000000000000005;2920;1460;1460;0.12;0.0;0.0;3040;0;0
0.22000000000000006;2920;1460;1460;0.12;0.0;0.0;3040;0;0
0.23000000000000007;2920;1460;1460;0.12;0.0;0.0;3040;0;0
0.24000000000000007;2920;1460;1460;0.12;0.0;0.0;3040;0;0
0.25000000000000006;4380;1460;1460;0.12;0.0;0.0;3040;0;0
0.26000000000000006;4380;1460;1460;0.12;0.0;0.0;3040;0;0
0.27000000000000007;4380;1460;1460;0.12;0.0;0.0;3040;0;0
0.28000000000000008;4380;1460;1460;0.12;0.0;0.0;3040;0;0
0.29000000000000009;4380;1460;1460;0.12;0.0;0.0;3040;0;0
0.3000000000000001;4380;1460;1460;0.12;0.0;0.0;3040;0;0
0.31000000000000011;4380;1460;1460;0.12;0.0;0.0;7540;0;0
0.32000000000000012;4380;1460;1460;0.12;0.0;0.0;7540;0;0
0.33000000000000013;4380;1460;1460;0.12;0.0;0.0;7540;0;0
0.34000000000000014;4380;1460;1460;0.12;0.0;0.0;7540;0;0
0.35000000000000014;4380;1460;1460;0.12;0.0;0.0;7540;0;0
0.36000000000000015;4380;1460;1460;0.12;0.0;0.0;7540;0;0
0.37000000000000016;5840;1460;1460;0.12;0.0;0.0;7540;0;0
0.38000000000000017;5840;1460;1460;0.12;0.0;0.0;7540;0;0
0.39000000000000018;5840;1460;1460;0.12;0.0;0.0;7540;0;0
0.40000000000000019;5840;1460;1460;0.12;0.0;0.0;7540;0;0
0.4100000000000002;5840;1460;1460;0.12;0.0;0.0;7540;0;0
0.42000000000000021;5840;1460;1460;0.12;0.0;0.0;7540;0;0
0.43000000000000022;5840;1460;1460;0.12;0.0;0.0;10540;0;0
